Neuron1	Neuron2	Type	Nbr
PVCL	DVA	EJ	1
PVCL	DVA	EJ	1
PVCL	PVCR	EJ	1
PVCL	Pse_PVCL_01	S	1
Pse_PVCL_01	Pse_PVCL_02	S	1
Pse_PVCL_02	Pse_PVCL_03	S	1
Pse_PVCL_03	Pse_PVCL_04	S	1
Pse_PVCL_04	Pse_PVCL_05	S	1
Pse_PVCL_05	Pse_PVCL_06	S	1
Pse_PVCL_06	Pse_PVCL_07	S	1
Pse_PVCL_07	Pse_PVCL_08	S	1
Pse_PVCL_08	Pse_PVCL_09	S	1
Pse_PVCL_09	Pse_PVCL_10	S	1
Pse_PVCL_10	Pse_PVCL_11	S	1
Pse_PVCL_11	Pse_PVCL_12	S	1
Pse_PVCL_12	Pse_PVCL_13	S	1
Pse_PVCL_13	Pse_PVCL_14	S	1
Pse_PVCL_14	Pse_PVCL_15	S	1
Pse_PVCL_15	Pse_PVCL_16	S	1
Pse_PVCL_16	AVBL	S	1
Pse_PVCL_16	AVBR	S	1
PVCR	DVA	EJ	1
PVCR	DVA	EJ	1
PVCR	PVCL	EJ	1
PVCR	Pse_PVCR_01	S	1
Pse_PVCR_01	Pse_PVCR_02	S	1
Pse_PVCR_02	Pse_PVCR_03	S	1
Pse_PVCR_03	Pse_PVCR_04	S	1
Pse_PVCR_04	Pse_PVCR_05	S	1
Pse_PVCR_05	Pse_PVCR_06	S	1
Pse_PVCR_06	Pse_PVCR_07	S	1
Pse_PVCR_07	Pse_PVCR_08	S	1
Pse_PVCR_08	Pse_PVCR_09	S	1
Pse_PVCR_09	Pse_PVCR_10	S	1
Pse_PVCR_10	Pse_PVCR_11	S	1
Pse_PVCR_11	Pse_PVCR_12	S	1
Pse_PVCR_12	Pse_PVCR_13	S	1
Pse_PVCR_13	Pse_PVCR_14	S	1
Pse_PVCR_14	Pse_PVCR_15	S	1
Pse_PVCR_15	Pse_PVCR_16	S	1
Pse_PVCR_16	AVBL	S	1
Pse_PVCR_16	AVBR	S	1
Pse_PVCR_06	VB11	S	1
Pse_PVCR_07	VB10	S	1
Pse_PVCR_09	VB08	S	1
Pse_PVCR_10	VB07	S	1
Pse_PVCR_11	VB06	S	1
Pse_PVCR_13	VB04	S	1
Pse_PVCR_15	DB02	S	1
Pse_PVCR_14	DB03	S	1
Pse_PVCR_12	DB04	S	1
Pse_PVCR_10	DB05	S	1
Pse_PVCR_08	DB06	S	1
Pse_PVCR_06	DB07	S	1
Pse_PVCL_06	VB11	S	1
Pse_PVCL_07	VB10	S	1
Pse_PVCL_08	VB09	S	1
Pse_PVCL_09	VB08	S	1
Pse_PVCL_11	VB06	S	1
Pse_PVCL_12	VB05	S	1
Pse_PVCL_13	VB04	S	1
Pse_PVCL_13	VB03	S	1
Pse_PVCL_15	VB01	S	1
Pse_PVCL_15	DB02	S	1
Pse_PVCL_14	DB03	S	1
Pse_PVCL_12	DB04	S	1
Pse_PVCL_10	DB05	S	1
Pse_PVCL_08	DB06	S	1
Pse_PVCL_06	DB07	S	1
DB03	Pse_DB03_01	S	1
Pse_DB03_01	Pse_DB03_02	S	1
Pse_DB03_02	Pse_DB03_03	S	1
Pse_DB03_03	Pse_DB03_04	S	1
Pse_DB03_04	Pse_DB03_05	S	1
Pse_DB03_05	Pse_DB03_06	S	1
Pse_DB03_06	Pse_DB03_07	S	1
Pse_DB03_07	Pse_DB03_08	S	1
Pse_DB03_08	Pse_DB03_09	S	1
Pse_DB03_09	Pse_DB03_10	S	1
Pse_DB03_10	Pse_DB03_11	S	1
Pse_DB03_11	Pse_DB03_12	S	1
Pse_DB03_12	Pse_DB03_13	S	1
Pse_DB03_13	Pse_DB03_14	S	1
Pse_DB03_14	Pse_DB03_15	S	1
Pse_DB03_15	Pse_DB03_16	S	1
Pse_DB03_01	Pse_DB03_17	EJ	1
Pse_DB03_17	DB02	EJ	1
DB01	Pse_DB01_01 S	1
Pse_DB01_01	Pse_DB01_02	S	1
Pse_DB01_02	Pse_DB01_03	S	1
Pse_DB01_03	Pse_DB01_04	S	1
Pse_DB01_04	Pse_DB01_05	S	1
Pse_DB01_05	Pse_DB01_06	S	1
Pse_DB01_06	Pse_DB01_07	S	1
Pse_DB01_07	Pse_DB01_08	S	1
Pse_DB01_08	Pse_DB01_09	S	1
Pse_DB01_09	Pse_DB01_10	S	1
Pse_DB01_10	Pse_DB01_11	S	1
Pse_DB01_11	Pse_DB01_12	S	1
Pse_DB01_12	Pse_DB01_13	S	1
Pse_DB01_13	Pse_DB01_14	S	1
DB02	Pse_DB02_01	S	1
Pse_DB02_01	Pse_DB02_02	S	1
Pse_DB02_02	Pse_DB02_03	S	1
Pse_DB02_03	Pse_DB02_04	S	1
Pse_DB02_04	Pse_DB02_05	S	1
Pse_DB02_05	Pse_DB02_06	S	1
Pse_DB02_06	Pse_DB02_07	S	1
Pse_DB02_07	Pse_DB02_08	S	1
Pse_DB02_08	Pse_DB02_09	S	1
Pse_DB02_09	Pse_DB02_10	S	1
Pse_DB02_10	Pse_DB02_11	S	1
Pse_DB02_11	Pse_DB02_12	S	1
Pse_DB02_12	Pse_DB02_13	S	1
DB04	Pse_DB04_01	S	1
Pse_DB04_01	Pse_DB04_02	S	1
Pse_DB04_02	Pse_DB04_03	S	1
Pse_DB04_03	Pse_DB04_04	S	1
Pse_DB04_04	Pse_DB04_05	S	1
Pse_DB04_05	Pse_DB04_06	S	1
Pse_DB04_06	Pse_DB04_07	S	1
Pse_DB04_07	Pse_DB04_08	S	1
Pse_DB04_08	Pse_DB04_09	S	1
Pse_DB04_09	Pse_DB04_10	S	1
Pse_DB04_10	Pse_DB04_11	S	1
Pse_DB04_11	Pse_DB04_12	S	1
Pse_DB04_12	Pse_DB04_13	S	1
DB05	Pse_DB05_01	S	1
Pse_DB05_01	Pse_DB05_02	S	1
Pse_DB05_02	Pse_DB05_03	S	1
Pse_DB05_03	Pse_DB05_04	S	1
Pse_DB05_04	Pse_DB05_05	S	1
Pse_DB05_05	Pse_DB05_06	S	1
Pse_DB05_06	Pse_DB05_07	S	1
Pse_DB05_07	Pse_DB05_08	S	1
Pse_DB05_08	Pse_DB05_09	S	1
Pse_DB05_09	Pse_DB05_10	S	1
Pse_DB05_10	Pse_DB05_11	S	1
Pse_DB05_11	Pse_DB05_12	S	1
Pse_DB05_12	Pse_DB05_13	S	1
DB06	Pse_DB06_01	S	1
Pse_DB06_01	Pse_DB06_02	S	1
Pse_DB06_02	Pse_DB06_03	S	1
Pse_DB06_03	Pse_DB06_04	S	1
Pse_DB06_04	Pse_DB06_05	S	1
Pse_DB06_05	Pse_DB06_06	S	1
Pse_DB06_06	Pse_DB06_07	S	1
Pse_DB06_07	Pse_DB06_08	S	1
Pse_DB06_08	Pse_DB06_09	S	1
Pse_DB06_09	Pse_DB06_10	S	1
DB07	Pse_DB07_01	S	1
Pse_DB07_01	Pse_DB07_02	S	1
Pse_DB07_02	Pse_DB07_03	S	1
Pse_DB07_03	Pse_DB07_04	S	1
Pse_DB07_04	Pse_DB07_05	S	1
Pse_DB07_05	Pse_DB07_06	S	1
Pse_DB07_06	Pse_DB07_07	S	1
Pse_DB07_07	Pse_DB07_08	S	1
Pse_DB07_08	Pse_DB07_09	S	1
Pse_DB07_09	Pse_DB07_10	S	1
Pse_DB07_10	Pse_DB07_11	S	1
Pse_DB07_11	Pse_DB07_12	S	1
VB01	Pse_VB01_01	S	1
Pse_VB01_01	Pse_VB01_02	S	1
Pse_VB01_02	Pse_VB01_03	S	1
Pse_VB01_03	Pse_VB01_04	S	1
Pse_VB01_04	Pse_VB01_05	S	1
Pse_VB01_05	Pse_VB01_06	S	1
Pse_VB01_06	Pse_VB01_07	S	1
Pse_VB01_07	Pse_VB01_08	S	1
Pse_VB01_08	Pse_VB01_09	S	1
Pse_VB01_09	Pse_VB01_10	S	1
Pse_VB01_10	Pse_VB01_11	S	1
Pse_VB01_11	Pse_VB01_12	S	1
Pse_VB01_12	Pse_VB01_13	S	1
Pse_VB01_13	Pse_VB01_14	S	1
Pse_VB01_14	Pse_VB01_15	S	1
Pse_VB01_15	Pse_VB01_16	S	1
Pse_VB01_16	Pse_VB01_17	S	1
Pse_VB01_17	Pse_VB01_18	S	1
Pse_VB01_18	Pse_VB01_19	S	1
Pse_VB01_19	Pse_VB01_20	S	1
Pse_VB01_20	DVA	Sp	1
VB02	Pse_VB02_01	S	1
Pse_VB02_01	Pse_VB02_02	S	1
Pse_VB02_02	Pse_VB02_03	S	1
Pse_VB02_03	Pse_VB02_04	S	1
Pse_VB02_04	Pse_VB02_05	S	1
Pse_VB02_05	Pse_VB02_06	S	1
Pse_VB02_06	Pse_VB02_07	S	1
Pse_VB02_07	Pse_VB02_08	S	1
Pse_VB02_08	Pse_VB02_09	S	1
VB03	Pse_VB03_01	S	1
Pse_VB03_01	Pse_VB03_02	S	1
Pse_VB03_02	Pse_VB03_03	S	1
Pse_VB03_03	Pse_VB03_04	S	1
